Begin Header
Date,01/09/2004 13:58:00
X-Label,Nanometers
Y-Label,Arbitrary
NumPoints,120
StartValue,400
EndValue,435
Steps,0,3
GaussFilter,0
NoiseFilter,True
AmplCorrection,True
DarkCorrection,True
AddCycles,1
Iterations,1
AutoExposure,False
MaxCycleTime,10
ExposureTime,1000
CoolerFilter,False
CoolerTemp,292
End Header
nm,Value
400.1,0.04751
400.4,0.04466
400.7,0.04386
401,0.04305
401.3,0.04083
401.6,0.03861
401.9,0.03853
402.2,0.04061
402.5,0.04269
402.8,0.04325
403.1,0.04382
403.3,0.03913
403.6,0.03965
403.9,0.04017
404.2,0.04044
404.5,0.04071
404.8,0.04076
405.1,0.04293
405.4,0.04208
405.7,0.04794
406,0.0538
406.3,0.06669
406.6,0.08315
406.9,0.08229
407.2,0.07724
407.5,0.06285
407.8,0.05202
408.1,0.05122
408.3,0.05098
408.6,0.05075
408.9,0.04493
409.2,0.04324
409.5,0.04271
409.8,0.04299
410.1,0.04327
410.4,0.04209
410.7,0.0409
411,0.03975
411.3,0.0386
411.6,0.03582
411.9,0.03359
412.2,0.03382
412.5,0.03405
412.8,0.03544
413,0.03682
413.3,0.03644
413.6,0.03509
413.9,0.03535
414.2,0.03561
414.5,0.03672
414.8,0.03784
415.1,0.03922
415.4,0.0406
415.7,0.04223
416,0.04756
416.3,0.04847
416.6,0.04937
416.9,0.05237
417.2,0.05625
417.5,0.075
417.8,0.08054
418,0.07739
418.3,0.05955
418.6,0.04322
418.9,0.04085
419.2,0.0434
419.5,0.04595
419.8,0.05143
420.1,0.06158
420.4,0.06228
420.7,0.06837
421,0.0657
421.3,0.06302
421.6,0.05179
421.9,0.04782
422.2,0.04385
422.5,0.04276
422.8,0.0376
423,0.03464
423.3,0.03417
423.6,0.03395
423.9,0.03374
424.2,0.03235
424.5,0.03096
424.8,0.03056
425.1,0.03055
425.4,0.03044
425.7,0.03096
426,0.03149
426.3,0.03028
426.6,0.02918
426.9,0.02952
427.2,0.02985
427.5,0.02889
427.7,0.02916
428,0.02943
428.3,0.03126
428.6,0.0305
428.9,0.03152
429.2,0.03254
429.5,0.07563
429.8,0.05421
430.1,0.04479
430.4,0.03537
430.7,0.03397
431,0.03095
431.3,0.03081
431.6,0.03067
431.9,0.02945
432.2,0.02823
432.5,0.02882
432.7,0.02941
433,0.03192
433.3,0.03947
433.6,0.04702
433.9,0.05367
434.2,0.05218
434.5,0.04599
434.8,0.03162
435.1,0.03038
