Begin Header
Date,01/09/2004 14:30:00
X-Label,Nanometers
Y-Label,Arbitrary
NumPoints,1285
StartValue,380
EndValue,760
Steps,0,3
GaussFilter,0
NoiseFilter,True
AmplCorrection,True
DarkCorrection,True
AddCycles,1
Iterations,1
AutoExposure,False
MaxCycleTime,10
ExposureTime,100
CoolerFilter,False
CoolerTemp,292,3
End Header
nm,Value
380.1,0.01897
380.4,0.01828
380.7,0.01803
381,0.02138
381.3,0.02474
381.6,0.04998
381.9,0.05725
382.2,0.05134
382.5,0.04543
382.7,0.03333
383,0.0319
383.3,0.03047
383.6,0.02205
383.9,0.01786
384.2,0.01367
384.5,0.02151
384.8,0.0195
385.1,0.02013
385.4,0.02076
385.7,0.01278
386,0.02166
386.3,0.03054
386.6,0.04188
386.9,0.04282
387.2,0.04634
387.5,0.05631
387.8,0.08403
388,0.2208
388.3,4.382
388.6,9.575
388.9,10
389.2,8.569
389.5,2.087
389.8,0.3666
390.1,0.1418
390.4,0.1086
390.7,0.07552
391,0.0695
391.3,0.04217
391.6,0.04276
391.9,0.04336
392.2,0.02971
392.5,0.02724
392.8,0.02477
393,0.02987
393.3,0.02129
393.6,0.02294
393.9,0.0171
394.2,0.01127
394.5,0.004798
394.8,0.007612
395.1,0.01044
395.4,0.01222
395.7,0.01401
396,0.08048
396.3,0.126
396.6,0.1337
396.9,0.09394
397.2,0.03732
397.5,0.01307
397.8,0.008518
398,0.01528
398.3,0.01436
398.6,0.01344
398.9,0.008137
399.2,0.002843
399.5,0.009243
399.8,0.009396
400.1,0.009558
400.4,0.01513
400.7,0.008843
401,0.01119
401.3,0.0001431
401.6,-0.0001526
401.9,0.06849
402.2,0.1371
402.5,0.2435
402.8,0.2505
403.1,0.1823
403.3,0.05922
403.6,0.01262
403.9,0.01385
404.2,0.002108
404.5,0.006382
404.8,0.00601
405.1,0.005647
405.4,0.003634
405.7,0.001631
406,0.0004483
406.3,0.004846
406.6,0.0004483
406.9,-0.0002862
407.2,0.001154
407.5,0.002604
407.8,0.008938
408.1,0.01103
408.3,0.00332
408.6,0.006
408.9,0.006859
409.2,0.007717
409.5,0.001717
409.8,0.002137
410.1,0.001956
410.4,0.002289
410.7,-0.0005151
411,0.0009158
411.3,0.002347
411.6,0.009882
411.9,0.04285
412.2,0.04211
412.5,0.03172
412.8,0.00744
413,-0.0004293
413.3,0.0009825
413.6,0.002394
413.9,0.005046
414.2,0.007708
414.5,0.003215
414.8,0.002671
415.1,0.002137
415.4,-0.003272
415.7,0.002432
416,0.004913
416.3,0.001698
416.6,0.001631
416.9,0.007603
417.2,0.002242
417.5,-0.0004293
417.8,0.0001431
418,0.0007154
418.3,-0.0008585
418.6,0.008347
418.9,0.003987
419.2,-0.000372
419.5,-0.001784
419.8,0.003243
420.1,-9.539E-06
420.4,0.004646
420.7,0.004321
421,0.004006
421.3,0.001812
421.6,0.005256
421.9,0.001011
422.2,-0.001049
422.5,-0.0001431
422.8,0.0007631
423,0.001784
423.3,0.006219
423.6,0.004293
423.9,0.01092
424.2,0.003892
424.5,0.001688
424.8,-0.0005151
425.1,0.003453
425.4,0.001545
425.7,-0.0003529
426,0.0006677
426.3,-0.005342
426.6,-0.003215
426.9,-0.003577
427.2,-0.001097
427.5,0.001393
427.7,-0.001173
428,-0.002127
428.3,0.004092
428.6,-0.005723
428.9,-0.004502
429.2,-0.003281
429.5,-0.0002576
429.8,-0.001135
430.1,0.002108
430.4,0.0004674
430.7,0.004846
431,0.003062
431.3,0.007755
431.6,0.004979
431.9,0.003634
432.2,0.005504
432.5,0.002585
432.7,-0.0003243
433,0.003405
433.3,0.001164
433.6,-0.001068
433.9,0.005075
434.2,0.003596
434.5,0.002118
434.8,0.005943
435.1,0.009768
435.4,0.003425
435.7,0.006525
436,0.009634
436.3,0.009911
436.6,0.004941
436.9,-2.862E-05
437.2,0.0003434
437.5,-0.00124
437.8,-0.002824
438.1,0.02075
438.3,0.04433
438.6,0.0666
438.9,0.05932
439.2,0.05205
439.5,0.01148
439.8,0.004789
440.1,0.006095
440.4,0.007412
440.7,0.009844
441,0.005676
441.3,0.003911
441.6,0.002156
441.9,0.0008013
442.2,-0.0005437
442.5,-0.0009634
442.8,0.0005628
443.1,0.002099
443.4,0.01253
443.7,0.01102
444,0.01519
444.3,0.01359
444.5,0.01579
444.8,0.00372
445.1,0.009682
445.4,0.00993
445.7,0.01019
446,0.02088
446.3,0.0722
446.6,0.656
446.9,2.11
447.2,2.16
447.5,2.209
447.8,0.6694
448.1,0.1212
448.4,0.03183
448.7,0.02443
449,0.012
449.3,0.01529
449.6,0.007469
449.9,0.01224
450.2,0.01227
450.5,0.01231
450.8,0.007412
451,0.01191
451.3,0.01317
451.6,0.01239
451.9,0.01162
452.2,0.006887
452.5,-0.002766
452.8,0.003644
453.1,0.01005
453.4,0.01103
