Begin Header
Date,01/09/2004 13:51:00
X-Label,Nanometers
Y-Label,Arbitrary
NumPoints,710
StartValue,450
EndValue,660
Steps,0,3
GaussFilter,0
NoiseFilter,True
AmplCorrection,True
DarkCorrection,True
AddCycles,1
Iterations,1
AutoExposure,False
MaxCycleTime,10
ExposureTime,200
CoolerFilter,False
CoolerTemp,291,9
End Header
nm,Value
450.2,0.04841
450.5,0.04659
450.8,0.03849
451,0.03999
451.3,0.0415
451.6,0.04385
451.9,0.04619
452.2,0.0401
452.5,0.03997
452.8,0.04071
453.1,0.04145
453.4,0.04204
453.7,0.04284
454,0.04364
454.3,0.0409
454.6,0.04027
454.9,0.04382
455.2,0.04738
455.5,0.04622
455.8,0.04595
456.1,0.04687
456.4,0.04779
456.7,0.05534
457,0.05784
457.2,0.06388
457.5,0.07542
457.8,0.07997
458.1,0.08452
458.4,0.07154
458.7,0.04391
459,0.02759
459.3,0.02706
459.6,0.02959
459.9,0.02615
460.2,0.0227
460.5,0.03028
460.8,0.0292
461.1,0.03283
461.4,0.03285
461.7,0.03287
462,0.03882
462.3,0.04604
462.6,0.0643
462.9,0.09851
463.2,0.1105
463.5,0.1067
463.7,0.103
464,0.05547
464.3,0.02772
464.6,0.03486
464.9,0.03424
465.2,0.03531
465.5,0.03638
465.8,0.04182
466.1,0.04813
466.4,0.05444
466.7,0.05153
467,0.05091
467.3,0.05029
467.6,0.04729
467.9,0.05306
468.2,0.05883
468.5,0.05923
468.8,0.06203
469.1,0.0431
469.4,0.03756
469.7,0.03351
470,0.02946
470.2,0.02505
470.5,0.02979
470.8,0.03453
471.1,0.03816
471.4,0.04075
471.7,0.04602
472,0.0513
472.3,0.05053
472.6,0.04977
472.9,0.03045
473.2,0.02897
473.5,0.02985
473.8,0.03074
474.1,0.03237
474.4,0.034
474.7,0.0331
475,0.03065
475.3,0.02971
475.6,0.02878
475.9,0.03005
476.2,0.03131
476.4,0.02704
476.7,0.02677
477,0.02903
477.3,0.02778
477.6,0.03015
477.9,0.03252
478.2,0.03464
478.5,0.03507
478.8,0.0355
479.1,0.03383
479.4,0.03545
479.7,0.03707
480,0.03596
480.3,0.03444
480.6,0.03291
480.9,0.03112
481.2,0.02678
481.5,0.02668
481.8,0.02989
482.1,0.02847
482.4,0.02886
482.7,0.02925
482.9,0.02679
483.2,0.02871
483.5,0.02749
483.8,0.03173
484.1,0.03163
484.4,0.03634
484.7,0.04106
485,0.04369
485.3,0.04633
485.6,0.07465
485.9,0.2209
486.2,0.247
486.5,0.2376
486.8,0.1134
487.1,0.06313
487.4,0.05545
487.7,0.04657
488,0.0395
488.3,0.03223
488.6,0.03483
488.9,0.028
489.1,0.026
489.4,0.02887
489.7,0.02579
490,0.02581
490.3,0.02584
490.6,0.02633
490.9,0.02683
491.2,0.02741
491.5,0.028
491.8,0.03232
492.1,0.03715
492.4,0.04341
492.7,0.06538
493,0.1047
493.3,0.1025
493.6,0.1004
493.9,0.07381
494.2,0.04513
494.5,0.03397
494.8,0.03099
495.1,0.03175
495.4,0.03251
495.6,0.03452
495.9,0.03653
496.2,0.03487
496.5,0.03835
496.8,0.04183
497.1,0.04222
497.4,0.0426
497.7,0.04324
498,0.04387
498.3,0.03512
498.6,0.0326
498.9,0.02896
499.2,0.02532
499.5,0.02282
499.8,0.0241
500.1,0.02539
500.4,0.03262
500.7,0.03415
501,0.05157
501.3,0.06054
501.6,0.05275
501.9,0.04497
502.1,0.03435
502.4,0.03157
502.7,0.0288
503,0.03023
503.3,0.03167
503.6,0.02503
503.9,0.0226
504.2,0.02142
504.5,0.0213
504.8,0.02377
505.1,0.02623
505.4,0.02706
505.7,0.02789
506,0.03589
506.3,0.03422
506.6,0.03524
506.9,0.03626
507.2,0.03402
507.5,0.03972
507.8,0.03976
508.1,0.0398
508.3,0.03711
508.6,0.03442
508.9,0.02412
509.2,0.02034
509.5,0.0197
509.8,0.01943
510.1,0.02052
510.4,0.02162
510.7,0.02495
511,0.02519
511.3,0.02084
511.6,0.02134
511.9,0.02185
512.2,0.01888
512.5,0.01874
512.8,0.01626
513.1,0.01809
513.4,0.01992
513.7,0.01878
514,0.02004
514.3,0.0213
514.6,0.02403
514.8,0.01975
515.1,0.0214
515.4,0.01558
515.7,0.0199
516,0.01982
516.3,0.01974
516.6,0.02174
516.9,0.01996
517.2,0.02343
517.5,0.0229
517.8,0.0242
518.1,0.02551
518.4,0.02429
518.7,0.02308
519,0.02551
519.3,0.02795
519.6,0.03227
519.9,0.03145
520.2,0.0279
520.5,0.02492
520.8,0.01977
521.1,0.01127
521.3,0.01696
521.6,0.02266
521.9,0.02431
522.2,0.02341
522.5,0.0279
522.8,0.02616
523.1,0.02442
523.4,0.025
523.7,0.02557
524,0.01385
524.3,0.01643
524.6,0.01901
524.9,0.02012
525.2,0.01969
525.5,0.0236
525.8,0.02751
