Begin Header
Date,01/09/2004 14:22:00
X-Label,Nanometers
Y-Label,Arbitrary
NumPoints,308
StartValue,310
EndValue,400
Steps,0,3
GaussFilter,0
NoiseFilter,True
AmplCorrection,True
DarkCorrection,True
AddCycles,1
Iterations,1
AutoExposure,False
MaxCycleTime,10
ExposureTime,150
CoolerFilter,False
CoolerTemp,292,2
End Header
nm,Value
310,0.0022
310.3,0.02684
310.6,0.0195
310.9,0.02922
311.2,0.03158
311.5,0.03394
311.8,0.03211
312.1,0.03028
312.3,0.03037
312.6,0.03045
312.9,0.0184
313.2,0.02865
313.5,0.03074
313.8,0.02738
314.1,0.02402
314.4,0.01493
314.7,0.005844
315,0.0311
315.3,0.0323
315.6,0.03351
315.9,0.03112
316.2,0.02874
316.4,0.02221
316.7,0.02452
317,0.02684
317.3,0.0263
317.6,0.04822
317.9,0.07015
318.2,0.2177
318.5,0.2683
318.8,0.2668
319.1,0.1076
319.4,0.04684
319.7,0.02341
320,0.04571
320.3,0.009793
320.5,-0.007142
320.8,-0.0011
321.1,0.004941
321.4,0.005278
321.7,0.005622
322,0.001921
322.3,0.02489
322.6,0.01536
322.9,0.02013
323.2,0.009062
323.5,0.007218
323.8,0.005374
324.1,0.01901
324.4,0.004744
324.6,0.02389
324.9,0.01405
325.2,0.004216
325.5,0.01821
325.8,0.004522
326.1,0.02071
326.4,-0.009863
326.7,0.003065
327,0.016
327.3,0.0193
327.6,0.01919
327.9,0.008553
328.2,0.003288
328.5,0.01511
328.8,0.01408
329,0.0159
329.3,0.01772
329.6,0.01921
329.9,0.01891
330.2,0.02621
330.5,0.02073
330.8,0.03678
331.1,0.01774
331.4,0.02211
331.7,-0.0003625
332,0.007816
332.3,0.01599
332.6,0.02258
332.9,0.01377
333.1,0.02811
333.4,0.02916
333.7,0.03021
334,0.02623
334.3,0.02226
334.6,0.01377
334.9,0.03135
335.2,0.02154
335.5,0.02523
335.8,0.02417
336.1,0.02312
336.4,0.01421
336.7,0.005291
337,0.007873
337.3,0.01046
337.5,0.03192
337.8,0.03217
338.1,0.0313
338.4,0.0184
338.7,0.01853
339,0.01867
339.3,0.02576
339.6,0.02062
339.9,0.02783
340.2,0.02637
340.5,0.02693
340.8,0.02749
341.1,0.004712
341.4,-0.001533
341.6,-0.003002
341.9,-0.002328
342.2,-0.001647
342.5,-0.002747
342.8,0.01092
343.1,0.004731
343.4,0.009692
343.7,0.01465
344,0.0164
344.3,0.01814
344.6,0.02302
344.9,0.04197
345.2,0.02335
345.5,0.02447
345.8,0.02558
346,0.02457
346.3,0.02356
346.6,0.02371
346.9,0.02387
347.2,0.03102
347.5,0.03035
347.8,0.0306
348.1,0.03084
348.4,0.02448
348.7,0.04262
349,0.03211
349.3,0.04049
349.6,0.02257
349.9,0.004649
350.1,0.01287
350.4,0.002417
350.7,0.003529
351,0.004649
351.3,0.008254
351.6,0.01186
351.9,0.01782
352.2,0.02378
352.5,0.04365
352.8,0.0361
353.1,0.02855
353.4,0.02798
353.7,0.02824
354,0.0285
354.2,0.02277
354.5,0.01705
354.8,0.01359
355.1,0.02698
355.4,0.04036
355.7,0.01659
356,-0.007173
356.3,-0.01018
356.6,0.006137
356.9,0.0009984
357.2,-0.0002607
357.5,-0.00152
357.8,-0.001412
358.1,-0.001304
358.4,-0.002722
358.6,0.0111
358.9,0.007542
359.2,0.01482
359.5,0.005431
359.8,0.01052
360.1,0.01561
360.4,0.01948
360.7,0.02335
361,0.02954
361.3,0.03573
361.6,0.02424
361.9,0.01276
362.2,0.01667
362.5,0.02059
362.7,0.01895
363,0.01731
363.3,0.0157
363.6,0.02787
363.9,0.04004
364.2,0.03632
364.5,0.0326
364.8,0.02584
365.1,0.03259
365.4,0.02581
365.7,0.01904
366,0.003409
366.3,-0.008191
366.6,0.01196
366.9,0.0138
367.2,0.0117
367.4,0.01422
367.7,0.01674
368,0.0102
368.3,0.0343
368.6,0.03071
368.9,0.02712
369.2,0.01062
369.5,0.01117
369.8,0.01172
370.1,0.01253
370.4,0.02161
370.7,0.03068
371,0.01697
371.3,0.0188
371.6,0.02064
371.9,0.02488
372.2,0.0186
372.4,0.03562
372.7,0.03799
373,0.04037
373.3,0.03495
373.6,0.02953
373.9,0.02735
374.2,0.02518
374.5,0.03408
374.8,0.03165
375.1,0.02922
375.4,0.02232
375.7,0.0284
376,0.02902
376.3,0.02966
376.6,0.02401
376.9,0.01835
377.2,0.01427
377.5,0.01841
377.7,0.02256
378,0.02404
378.3,0.02214
378.6,0.02347
378.9,0.0248
379.2,0.01413
379.5,0.01518
379.8,0.01624
380.1,0.02073
380.4,0.01744
380.7,0.01417
381,0.0237
381.3,0.03322
381.6,0.0685
381.9,0.08036
382.2,0.07372
382.5,0.06709
382.7,0.03239
383,0.03842
383.3,0.03743
383.6,0.03736
383.9,0.03729
384.2,0.03353
