Begin Header
Date,01/09/2004 13:37:00
X-Label,Nanometers
Y-Label,Arbitrary
NumPoints,137
StartValue,420
EndValue,460
Steps,0,3
GaussFilter,0
NoiseFilter,True
AmplCorrection,True
DarkCorrection,True
AddCycles,1
Iterations,1
AutoExposure,False
MaxCycleTime,10
ExposureTime,10
CoolerFilter,False
CoolerTemp,291,6
End Header
nm,Value
420.1,0.0003816
420.4,-0.07021
420.7,-0.07831
421,-0.0394
421.3,-0.03386
421.6,-0.02824
421.9,-0.001812
422.2,-0.01479
422.5,0.005342
422.8,-0.00496
423,-0.01517
423.3,0.00601
423.6,0.002862
423.9,0.04226
424.2,-0.03358
424.5,-0.0579
424.8,-0.06973
425.1,-0.07517
425.4,0.02776
425.7,0.01364
426,-0.0003816
426.3,-0.0004769
426.6,-0.01421
426.9,0.03281
427.2,-0.05017
427.5,-0.06439
427.7,-0.03272
428,-0.0009539
428.3,-0.0003816
428.6,-0.0002862
428.9,-0.01393
429.2,0.005723
429.5,0.02547
429.8,0.0248
430.1,0.02423
430.4,-0.0269
430.7,-0.01402
431,-0.001049
431.3,0.02423
431.6,0.02528
431.9,0.05141
432.2,0.01269
432.5,0.01908
432.7,0.02556
433,0.02499
433.3,0.05094
433.6,0.07698
433.9,0.08785
434.2,0.09873
434.5,0.3756
434.8,0.4087
435.1,1.054
435.4,10.03
435.7,17.88
436,18.34
436.3,13.01
436.6,2.419
436.9,0.5436
437.2,0.1243
437.5,0.07335
437.8,0.07383
438.1,0.0744
438.3,0.0992
438.6,0.04874
438.9,-0.001622
439.2,0.03625
439.5,0.07412
439.8,0.03625
440.1,-0.001622
440.4,0.03653
440.7,0.07469
441,0.0497
441.3,0.02471
441.6,-0.02585
441.9,-0.01316
442.2,-0.0004769
442.5,-0.002003
442.8,-0.003434
443.1,0.03672
443.4,0.01822
443.7,-0.0002862
444,0.03796
444.3,0.03129
444.5,0.02471
444.8,0.02537
445.1,0.02604
445.4,0.1032
445.7,0.1045
446,0.1057
446.3,0.116
446.6,0.1091
446.9,0.1023
447.2,0.01116
447.5,-0.008013
447.8,0.0476
448.1,0.01021
448.4,-0.02709
448.7,-0.1069
449,-0.09386
449.3,-0.08079
449.6,-0.02728
449.9,-0.02728
450.2,-0.06458
450.5,-0.03339
450.8,-0.01851
451,-0.003529
451.3,-0.004197
451.6,0.06134
451.9,0.04273
452.2,0.07106
452.5,0.03529
452.8,-0.0004769
453.1,0.0393
453.4,0.005723
453.7,-0.0103
454,-0.005342
454.3,-0.0002862
454.6,0.01164
454.9,0.02366
455.2,0.02289
455.5,-0.02518
455.8,-0.02604
456.1,-0.01326
456.4,-0.0004769
456.7,-0.002957
457,0.06401
457.2,0.07049
457.5,-0.01898
457.8,-0.00973
458.1,-0.0003816
458.4,0.01259
458.7,-0.03501
459,0.02165
459.3,0.02289
459.6,0.02413
459.9,0.06315
460.2,0.04273
