Begin Header
Date,01/09/2004 14:31:00
X-Label,Nanometers
Y-Label,Arbitrary
NumPoints,1285
StartValue,380
EndValue,760
Steps,0,3
GaussFilter,0
NoiseFilter,True
AmplCorrection,True
DarkCorrection,True
AddCycles,1
Iterations,1
AutoExposure,False
MaxCycleTime,10
ExposureTime,500
CoolerFilter,False
CoolerTemp,292,3
End Header
nm,Value
380.1,0.01891
380.4,0.01712
380.7,0.02003
381,0.02295
381.3,0.03287
381.6,0.06912
381.9,0.0919
382.2,0.09432
382.5,0.05006
382.7,0.02891
383,0.02875
383.3,0.02859
383.6,0.03152
383.9,0.02975
384.2,0.02914
384.5,0.03015
384.8,0.03116
385.1,0.03369
385.4,0.03622
385.7,0.03985
386,0.04235
386.3,0.05104
386.6,0.05323
386.9,0.06459
387.2,0.07
387.5,0.0754
387.8,0.1072
388,0.3904
388.3,2
388.6,2
388.9,2
389.2,2
389.5,2
389.8,1.285
390.1,0.2104
390.4,0.122
390.7,0.09104
391,0.06948
391.3,0.05806
391.6,0.05456
391.9,0.05106
392.2,0.03806
392.5,0.03682
392.8,0.03693
393,0.03703
393.3,0.03066
393.6,0.02993
393.9,0.02982
394.2,0.02956
394.5,0.02587
394.8,0.02218
395.1,0.02086
395.4,0.02374
395.7,0.02662
396,0.1077
396.3,0.2014
396.6,0.2051
396.9,0.1601
397.2,0.05042
397.5,0.02667
397.8,0.01575
398,0.01633
398.3,0.0169
398.6,0.01463
398.9,0.01235
399.2,0.01301
399.5,0.01368
399.8,0.01114
400.1,0.01183
400.4,0.01252
400.7,0.01402
401,0.01431
401.3,0.01471
401.6,0.01497
401.9,0.02403
402.2,0.2066
402.5,0.3765
402.8,0.3908
403.1,0.2743
403.3,0.06173
403.6,0.01913
403.9,0.01079
404.2,0.01047
404.5,0.01026
404.8,0.01005
405.1,0.008963
405.4,0.007877
405.7,0.007851
406,0.006115
406.3,0.006074
406.6,0.006034
406.9,0.004117
407.2,0.003051
407.5,0.004754
407.8,0.004781
408.1,0.004808
408.3,0.005386
408.6,0.005964
408.9,0.00653
409.2,0.005216
409.5,0.005287
409.8,0.005357
410.1,0.004291
410.4,0.004357
410.7,0.004426
411,0.003957
411.3,0.01469
411.6,0.02542
411.9,0.05673
412.2,0.05713
412.5,0.05101
412.8,0.01439
413,0.007585
413.3,0.005554
413.6,0.008734
413.9,0.01191
414.2,0.01868
414.5,0.01568
414.8,0.01268
415.1,0.006073
415.4,0.005888
415.7,0.005702
416,0.001976
416.3,0.004745
416.6,0.003152
416.9,0.00331
417.2,0.003468
417.5,0.003528
417.8,0.003587
418,0.004386
418.3,0.005187
418.6,0.003487
418.9,0.001788
419.2,0.002619
419.5,0.002247
419.8,0.002938
420.1,0.001265
420.4,0.001099
420.7,0.002812
421,0.004527
421.3,0.004304
421.6,0.004083
421.9,0.004533
422.2,0.003984
422.5,0.003436
422.8,0.003356
423,0.003278
423.3,0.002833
423.6,0.002389
423.9,0.002202
424.2,0.003077
424.5,0.00237
424.8,0.002373
425.1,0.002379
425.4,0.001547
425.7,0.002444
426,0.002066
426.3,0.001688
426.6,-0.00058
426.9,0.0004407
427.2,0.001461
427.5,0.001614
427.7,0.001769
428,0.002482
428.3,0.002152
428.6,0.002261
428.9,0.002371
429.2,0.001601
429.5,0.04628
429.8,0.02706
430.1,0.007843
430.4,0.006403
430.7,0.004964
431,0.001385
431.3,0.002556
431.6,0.003728
431.9,0.003007
432.2,0.002286
432.5,0.003045
432.7,0.003806
433,0.003726
433.3,0.004441
433.6,0.003816
433.9,0.00319
434.2,0.002652
434.5,0.002942
434.8,0.003232
435.1,0.003732
435.4,0.002406
435.7,0.001082
436,0.002423
436.3,0.003764
436.6,0.004338
436.9,0.004913
437.2,0.005308
437.5,0.005164
437.8,0.008133
438.1,0.0111
438.3,0.05972
438.6,0.09801
438.9,0.1006
439.2,0.07402
439.5,0.02347
439.8,0.01369
440.1,0.01129
440.4,0.007904
440.7,0.007853
441,0.01109
441.3,0.01096
441.6,0.01084
441.9,0.01117
442.2,0.01151
442.5,0.01222
442.8,0.01294
443.1,0.01449
443.4,0.01778
443.7,0.01764
444,0.01749
444.3,0.01522
444.5,0.01344
444.8,0.01167
445.1,0.01391
445.4,0.01615
445.7,0.01768
446,0.02882
446.3,0.09694
446.6,1.037
446.9,2
447.2,2
447.5,2
447.8,1.992
448.1,0.175
448.4,0.05542
448.7,0.03505
449,0.02582
449.3,0.0178
449.6,0.01371
449.9,0.0117
450.2,0.01074
450.5,0.01027
450.8,0.009478
451,0.00869
451.3,0.008049
451.6,0.00741
451.9,0.007149
452.2,0.007917
452.5,0.007215
452.8,0.006513
453.1,0.006284
453.4,0.006748
453.7,0.006288
454,0.006855
454.3,0.005226
454.6,0.006115
454.9,0.007004
455.2,0.006822
455.5,0.006271
455.8,0.007341
456.1,0.005428
